"","N0_7muVerMo","SubjVertMo","QGVertMotion","CombVerMo","AreaMeso_ALS","SatContMoist","RaoContMoist","CombMoisture","AreaMoDryAir","VISCloudCov","IRCloudCover","CombClouds","CldShadeOth","AMInstabMt","InsInMt","WndHodograph","OutflowFrMt","MorningBound","Boundaries","CldShadeConv","CompPlFcst","CapChange","LoLevMoistAd","InsChange","MountainFcst","Date","Scenario","ScenRelAMCIN","MorningCIN","AMCINInScen","CapInScen","ScenRelAMIns","LIfr12ZDENSd","AMDewptCalPl","AMInsWliScen","InsSclInScen","ScenRel3_4","LatestCIN","LLIW","CurPropConv","ScnRelPlFcst","PlainsFcst","N34StarFcst","R5Fcst","Dewpoints","LowLLapse","MeanRH","MidLLapse","MvmtFeatures","RHRatio","SfcWndShfDis","SynForcng","TempDis","WindAloft","WindFieldMt","WindFieldPln"
"1","StrongUp","Down","WeakUp","Down","Down","Wet","Neutral","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Strong","DCVZFavor","Strong","None","Weak","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","Jul16_Aug10","C","CThruK","PartInhibit","LessThanAve","Average","CDEJ","N1GtLIGt_4","Neutral","MoreUnstable","MoreUnstable","ACEFK","None","Strong","Strong","C","SVR","SIG","SIG","LowEvrywhere","CloseToDryAd","Average","Steep","NoMajor","MoistMDryL","E_W_N","NegToPos","Other","AllElse","Westerly","LongAnticyc"
"2","WeakUp","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Dry","Dry","PC","PC","PC","PC","None","None","DCVZFavor","None","Strong","Strong","None","IncCapDecIns","Increasing","WeakPos","Increasing","XNIL","Jul16_Aug10","H","CThruK","Stifling","MoreThanAve","MoreThanAve","H","LIGt0","Stability","LessUnstable","Average","HI","PartInhibit","Unfavorable","None","H","XNIL","XNIL","XNIL","LowMtsHighPl","ModerateOrLe","Dry","CloseToDryAd","NoMajor","DryMMoistL","None","NegToPos","None","LV","Westerly","SEQuad"
"3","WeakUp","Down","WeakUp","Neutral","Neutral","Neutral","VeryWet","Wet","VeryWet","Clear","PC","PC","Cloudy","Weak","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Jul16_Aug10","C","CThruK","Stifling","Average","Average","CDEJ","N5GtLIGt_8","Stability","Average","Average","ACEFK","TotalInhibit","Weak","None","C","XNIL","XNIL","SIG","LowEvrywhere","CloseToDryAd","Dry","Steep","MarkedUpper","Other","E_W_N","SigPositive","None","NWQuad","LVorOther","LongAnticyc"
"4","StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Dry","Wet","Neutral","Clear","Clear","Clear","Clear","Strong","Strong","StrongWest","Weak","None","Weak","Marked","LittleChange","LittleChange","Negative","Decreasing","SIG","Jul2_Jul15","J","CThruK","None","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Neutral","Average","Average","GJ","None","Moderate","Slight","J","XNIL","SVR","SVR","LowMtsHighPl","ModerateOrLe","Average","CloseToDryAd","NoMajor","MoistMDryL","None","LittleChange","Other","LV","LVorOther","DenvCyclone"
"5","StrongUp","StronUp","Down","Neutral","Neutral","VeryWet","VeryWet","VeryWet","VeryWet","PC","PC","PC","PC","Weak","Strong","StrongWest","Strong","None","Strong","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","Jun15_Jul1","C","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N1GtLIGt_4","Neutral","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Unfavorable","Slight","C","SVR","SVR","SVR","LowEvrywhere","Steep","Average","ModerateOrLe","MarkedUpper","Other","E_W_N","NegToPos","Moving","NWQuad","Westerly","LongAnticyc"
"6","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","Wet","Wet","PC","PC","PC","PC","Strong","Strong","Westerly","Strong","None","Weak","Some","LittleChange","LittleChange","Negative","Decreasing","XNIL","Aug20_Sep15","B","AB","PartInhibit","Average","Average","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","B","Stifling","Moderate","None","B","XNIL","XNIL","XNIL","LowSHighN","Steep","Average","Steep","NoMajor","Other","DenvCyclone","SigNegative","QStationary","LV","Westerly","E_NE"
"7","Neutral","Neutral","Down","Down","Down","Wet","Neutral","Dry","Dry","Clear","Clear","Clear","Clear","Weak","Strong","DCVZFavor","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Neutral","Increasing","SIG","Jul2_Jul15","G","CThruK","PartInhibit","LessThanAve","LessThanAve","G","N1GtLIGt_4","Stability","LessUnstable","Average","GJ","PartInhibit","Weak","None","G","XNIL","SVR","SVR","LowSHighN","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","DryLine","PosToNeg","None","SWQuad","LVorOther","LongAnticyc"
"8","WeakUp","Down","Down","Down","Down","Wet","Wet","Wet","Neutral","Clear","Clear","Clear","Clear","Strong","Strong","StrongWest","Strong","Weak","Strong","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Jul2_Jul15","G","CThruK","PartInhibit","Average","MoreThanAve","G","N1GtLIGt_4","Stability","Average","Average","GJ","PartInhibit","Unfavorable","None","G","XNIL","XNIL","SIG","LowAtStation","Steep","Dry","CloseToDryAd","OtherRapid","MoistMDryL","None","LittleChange","None","LV","Westerly","SEQuad"
"9","StrongUp","WeakUp","WeakUp","WeakUp","WeakUp","Wet","Dry","Wet","VeryWet","Clear","PC","PC","Cloudy","Strong","Strong","Other","Strong","Strong","Strong","None","DecCapIncIns","Decreasing","StrongPos","Increasing","SVR","May15_Jun14","B","AB","Stifling","Average","LessThanAve","ABI","LIGt0","Neutral","LessUnstable","LessUnstable","B","PartInhibit","Moderate","Slight","B","XNIL","XNIL","SVR","HighEvrywher","Steep","Average","CloseToDryAd","NoMajor","DryMMoistL","DenvCyclone","LittleChange","Other","SWQuad","LVorOther","DenvCyclone"
"10","StrongUp","Neutral","Down","StrongUp","StrongUp","Neutral","Neutral","Neutral","Wet","PC","Clear","PC","Cloudy","Weak","Strong","Westerly","Weak","None","Weak","None","LittleChange","LittleChange","WeakPos","LittleChange","XNIL","Aug20_Sep15","J","CThruK","None","Average","LessThanAve","CDEJ","LILt_8","Stability","Average","Average","GJ","TotalInhibit","Unfavorable","None","J","SVR","SVR","SVR","LowMtsHighPl","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","DryMMoistL","DryLine","NegToPos","Other","AllElse","LVorOther","LV"
